Nm,Name,Suit,Rank
AC,Ace of Batons,Batons,Ace
2C,Two of Batons,Batons,Two
3C,Three of Batons,Batons,Three
4C,Four of Batons,Batons,Four
5C,Five of Batons,Batons,Five
6C,Six of Batons,Batons,Six
7C,Seven of Batons,Batons,Seven
JC,Jack of Batons,Batons,Jack
QC,Queen of Batons,Batons,Queen
KC,King of Batons,Batons,King
AD,Ace of Coins,Coins,Ace
2D,Two of Coins,Coins,Two
3D,Three of Coins,Coins,Three
4D,Four of Coins,Coins,Four
5D,Five of Coins,Coins,Five
6D,Six of Coins,Coins,Six
7D,Seven of Coins,Coins,Seven
JD,Jack of Coins,Coins,Jack
QD,Queen of Coins,Coins,Queen
KD,King of Coins,Coins,King
AH,Ace of Cups,Cups,Ace
2H,Two of Cups,Cups,Two
3H,Three of Cups,Cups,Three
4H,Four of Cups,Cups,Four
5H,Five of Cups,Cups,Five
6H,Six of Cups,Cups,Six
7H,Seven of Cups,Cups,Seven
JH,Jack of Cups,Cups,Jack
QH,Queen of Cups,Cups,Queen
KH,King of Cups,Cups,King
AS,Ace of Swords,Swords,Ace
2S,Two of Swords,Swords,Two
3S,Three of Swords,Swords,Three
4S,Four of Swords,Swords,Four
5S,Five of Swords,Swords,Five
6S,Six of Swords,Swords,Six
7S,Seven of Swords,Swords,Seven
JS,Jack of Swords,Swords,Jack
QS,Queen of Swords,Swords,Queen
KS,King of Swords,Swords,King
