Nm,Name,Suit,Rank
AC,Ace of Clubs,Clubs,Ace
2C,Two of Clubs,Clubs,Two
3C,Three of Clubs,Clubs,Three
4C,Four of Clubs,Clubs,Four
5C,Five of Clubs,Clubs,Five
6C,Six of Clubs,Clubs,Six
7C,Seven of Clubs,Clubs,Seven
8C,Eight of Clubs,Clubs,Eight
9C,Nine of Clubs,Clubs,Nine
10C,Ten of Clubs,Clubs,Ten
JC,Jack of Clubs,Clubs,Jack
QC,Queen of Clubs,Clubs,Queen
KC,King of Clubs,Clubs,King
AD,Ace of Diamonds,Diamonds,Ace
2D,Two of Diamonds,Diamonds,Two
3D,Three of Diamonds,Diamonds,Three
4D,Four of Diamonds,Diamonds,Four
5D,Five of Diamonds,Diamonds,Five
6D,Six of Diamonds,Diamonds,Six
7D,Seven of Diamonds,Diamonds,Seven
8D,Eight of Diamonds,Diamonds,Eight
9D,Nine of Diamonds,Diamonds,Nine
10D,Ten of Diamonds,Diamonds,Ten
JD,Jack of Diamonds,Diamonds,Jack
QD,Queen of Diamonds,Diamonds,Queen
KD,King of Diamonds,Diamonds,King
AH,Ace of Hearts,Hearts,Ace
2H,Two of Hearts,Hearts,Two
3H,Three of Hearts,Hearts,Three
4H,Four of Hearts,Hearts,Four
5H,Five of Hearts,Hearts,Five
6H,Six of Hearts,Hearts,Six
7H,Seven of Hearts,Hearts,Seven
8H,Eight of Hearts,Hearts,Eight
9H,Nine of Hearts,Hearts,Nine
10H,Ten of Hearts,Hearts,Ten
JH,Jack of Hearts,Hearts,Jack
QH,Queen of Hearts,Hearts,Queen
KH,King of Hearts,Hearts,King
AS,Ace of Spades,Spades,Ace
2S,Two of Spades,Spades,Two
3S,Three of Spades,Spades,Three
4S,Four of Spades,Spades,Four
5S,Five of Spades,Spades,Five
6S,Six of Spades,Spades,Six
7S,Seven of Spades,Spades,Seven
8S,Eight of Spades,Spades,Eight
9S,Nine of Spades,Spades,Nine
10S,Ten of Spades,Spades,Ten
JS,Jack of Spades,Spades,Jack
QS,Queen of Spades,Spades,Queen
KS,King of Spades,Spades,King
