Nm,Name,Suit,Rank,Value
AC,Ace of Clubs,Clubs,Ace,1
2C,Two of Clubs,Clubs,Two,2
3C,Three of Clubs,Clubs,Three,3
4C,Four of Clubs,Clubs,Four,4
5C,Five of Clubs,Clubs,Five,5
6C,Six of Clubs,Clubs,Six,6
7C,Seven of Clubs,Clubs,Seven,7
8C,Eight of Clubs,Clubs,Eight,8
9C,Nine of Clubs,Clubs,Nine,9
10C,Ten of Clubs,Clubs,Ten,10
JC,Jack of Clubs,Clubs,Jack,8
QC,Queen of Clubs,Clubs,Queen,9
KC,King of Clubs,Clubs,King,10
AD,Ace of Diamonds,Diamonds,Ace,1
2D,Two of Diamonds,Diamonds,Two,2
3D,Three of Diamonds,Diamonds,Three,3
4D,Four of Diamonds,Diamonds,Four,4
5D,Five of Diamonds,Diamonds,Five,5
6D,Six of Diamonds,Diamonds,Six,6
7D,Seven of Diamonds,Diamonds,Seven,7
8D,Eight of Diamonds,Diamonds,Eight,8
9D,Nine of Diamonds,Diamonds,Nine,9
10D,Ten of Diamonds,Diamonds,Ten,10
JD,Jack of Diamonds,Diamonds,Jack,8
QD,Queen of Diamonds,Diamonds,Queen,9
KD,King of Diamonds,Diamonds,King,10
AH,Ace of Hearts,Hearts,Ace,1
2H,Two of Hearts,Hearts,Two,2
3H,Three of Hearts,Hearts,Three,3
4H,Four of Hearts,Hearts,Four,4
5H,Five of Hearts,Hearts,Five,5
6H,Six of Hearts,Hearts,Six,6
7H,Seven of Hearts,Hearts,Seven,7
8H,Eight of Hearts,Hearts,Eight,8
9H,Nine of Hearts,Hearts,Nine,9
10H,Ten of Hearts,Hearts,Ten,10
JH,Jack of Hearts,Hearts,Jack,8
QH,Queen of Hearts,Hearts,Queen,9
KH,King of Hearts,Hearts,King,10
AS,Ace of Spades,Spades,Ace,1
2S,Two of Spades,Spades,Two,2
3S,Three of Spades,Spades,Three,3
4S,Four of Spades,Spades,Four,4
5S,Five of Spades,Spades,Five,5
6S,Six of Spades,Spades,Six,6
7S,Seven of Spades,Spades,Seven,7
8S,Eight of Spades,Spades,Eight,8
9S,Nine of Spades,Spades,Nine,9
10S,Ten of Spades,Spades,Ten,10
JS,Jack of Spades,Spades,Jack,8
QS,Queen of Spades,Spades,Queen,9
KS,King of Spades,Spades,King,10
